Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.96	-10.55338
2.9625	-7.81151
2.965	-4.035201
2.9675	-0.3105295
2.97	2.738422
2.9725	4.472679
2.975	5.389302
2.9775	7.33506
2.98	11.2079
2.9825	15.77215
2.985	19.27292
2.9875	20.25235
2.99	18.96912
2.9925	18.04141
2.995	17.28088
2.9975	14.03806
3	9.228487
3.0025	6.681854
3.005	7.058357
3.0075	7.871856
3.01	7.038907
3.0125	4.108412
3.015	0.1145416
3.0175	-3.337077
3.02	-4.619794
3.0225	-3.770257
3.025	-2.395662
3.0275	-1.520486
3.03	-1.330508
3.0325	-1.937793
3.035	-3.548661
3.0375	-6.891862
3.04	-12.40425
3.0425	-18.02839
3.045	-21.16793
3.0475	-22.49974
3.05	-24.43785
3.0525	-27.6741
3.055	-31.65478
3.0575	-35.50233
3.06	-37.28998
3.0625	-36.25921
3.065	-34.44514
3.0675	-33.14939
3.07	-31.3114
3.0725	-28.3562
3.075	-24.75602
3.0775	-21.67307
3.08	-21.01977
3.0825	-22.847
3.085	-24.56044
3.0875	-24.34188
3.09	-23.05789
3.0925	-22.17596
3.095	-22.0276
3.0975	-21.92771
3.1	-21.20614
3.1025	-19.50727
3.105	-17.03639
3.1075	-14.65667
3.11	-13.12973
3.1125	-12.51645
3.115	-12.35179
3.1175	-12.47599
3.12	-13.53524
3.1225	-16.58287
3.125	-20.78291
3.1275	-23.44062
3.13	-23.6309
3.1325	-23.09332
3.135	-23.38641
3.1375	-24.52128
3.14	-26.88971
3.1425	-30.53352
3.145	-34.34634
3.1475	-38.11999
3.15	-42.51487
3.1525	-45.54274
3.155	-45.2179
3.1575	-43.9673
3.16	-44.25849
3.1625	-44.84597
3.165	-44.61621
3.1675	-44.50793
3.17	-44.12039
3.1725	-43.01743
3.175	-42.75772
3.1775	-44.55126
3.18	-47.90392
3.1825	-51.65935
3.185	-54.92792
3.1875	-57.68405
3.19	-60.7876
3.1925	-63.96364
3.195	-65.90873
3.1975	-66.06457
3.2	-64.92772
3.2025	-63.51301
3.205	-62.673
3.2075	-62.79971
3.21	-63.08433
3.2125	-62.88144
3.215	-62.44543
3.2175	-62.01024
3.22	-61.78142
3.2225	-62.46537
3.225	-64.02901
3.2275	-65.03519
3.23	-65.84454
3.2325	-69.07869
3.235	-75.30004
3.2375	-82.06336
3.24	-86.78882
3.2425	-87.94067
3.245	-85.93328
3.2475	-83.38738
3.25	-82.29296
3.2525	-82.64012
3.255	-84.1503
3.2575	-86.87801
3.26	-90.05732
3.2625	-91.70453
3.265	-90.25832
3.2675	-85.91497
3.27	-80.16548
3.2725	-75.82087
3.275	-74.9423
3.2775	-76.56448
3.28	-78.70399
3.2825	-80.10085
3.285	-79.36401
